"행정구역","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_0~9세","2025년_계_10~19세","2025년_계_20~29세","2025년_계_30~39세","2025년_계_40~49세","2025년_계_50~59세","2025년_계_60~69세","2025년_계_70~79세","2025년_계_80~89세","2025년_계_90~99세","2025년_계_100세 이상"
"서울특별시  (1100000000)","9,299,548","9,299,548","460,662","717,871","1,254,885","1,462,944","1,364,640","1,467,714","1,318,843","827,265","367,911","55,400","1,413"
"서울특별시 종로구 (1111000000)","137,048","137,048","5,090","9,193","20,206","19,869","18,245","22,755","21,001","12,563","6,880","1,212","34"
"서울특별시 중구 (1114000000)","117,805","117,805","4,977","5,804","15,716","21,222","16,098","17,798","17,909","11,441","5,815","1,003","22"
"서울특별시 용산구 (1117000000)","201,894","201,894","9,820","12,621","26,573","37,242","29,059","31,845","28,281","16,211","8,608","1,583","51"
"서울특별시 성동구 (1120000000)","274,606","274,606","15,681","17,165","37,856","48,293","39,573","42,695","38,575","22,283","10,879","1,577","29"
"서울특별시 광진구 (1121500000)","331,167","331,167","13,508","22,857","54,837","56,825","46,047","51,075","45,849","26,578","11,752","1,796","43"
"서울특별시 동대문구 (1123000000)","346,241","346,241","17,504","22,618","55,051","53,955","47,779","52,288","48,750","31,084","15,065","2,096","51"
"서울특별시 중랑구 (1126000000)","376,916","376,916","16,636","23,083","44,939","58,837","50,816","61,690","64,302","37,930","16,339","2,284","60"
"서울특별시 성북구 (1129000000)","422,559","422,559","21,457","33,816","62,619","56,948","59,783","70,663","58,704","37,158","18,583","2,758","70"
"서울특별시 강북구 (1130500000)","278,928","278,928","9,574","17,809","34,252","34,352","36,304","48,504","47,694","32,262","16,108","2,027","42"
"서울특별시 도봉구 (1132000000)","299,899","299,899","11,838","21,204","33,286","37,312","39,660","51,981","53,231","33,152","15,828","2,339","68"
"서울특별시 노원구 (1135000000)","483,541","483,541","22,895","44,100","61,120","61,093","69,011","83,880","72,485","44,781","20,656","3,435","85"
"서울특별시 은평구 (1138000000)","455,137","455,137","20,384","33,611","55,923","66,656","64,706","76,614","69,129","43,913","21,185","2,947","69"
"서울특별시 서대문구 (1141000000)","300,147","300,147","15,242","21,655","44,945","44,999","42,084","47,668","41,839","25,675","13,878","2,106","56"
"서울특별시 마포구 (1144000000)","357,616","357,616","18,267","25,708","54,593","64,726","54,455","55,719","42,765","25,467","13,685","2,181","50"
"서울특별시 양천구 (1147000000)","425,088","425,088","22,589","46,288","46,798","51,738","69,380","72,020","62,434","37,579","14,000","2,198","64"
"서울특별시 강서구 (1150000000)","549,711","549,711","26,686","40,113","71,534","96,262","81,783","81,228","79,050","50,070","19,639","3,254","92"
"서울특별시 구로구 (1153000000)","383,829","383,829","19,594","27,024","45,909","61,451","54,865","59,948","58,063","38,720","16,077","2,137","41"
"서울특별시 금천구 (1154500000)","223,290","223,290","8,321","12,044","31,715","39,718","27,627","35,047","36,991","21,450","9,133","1,217","27"
"서울특별시 영등포구 (1156000000)","371,362","371,362","19,733","22,319","52,748","74,165","52,167","53,808","48,966","30,801","14,390","2,206","59"
"서울특별시 동작구 (1159000000)","371,924","371,924","17,337","24,840","59,875","61,508","51,152","56,265","50,118","33,020","15,477","2,277","55"
"서울특별시 관악구 (1162000000)","477,605","477,605","13,937","23,529","101,391","94,020","57,847","64,465","60,035","41,201","18,902","2,234","44"
"서울특별시 서초구 (1165000000)","414,428","414,428","26,397","45,727","48,067","57,737","71,274","68,057","48,785","32,570","13,586","2,162","66"
"서울특별시 강남구 (1168000000)","556,330","556,330","31,995","64,057","63,159","80,655","100,055","88,475","63,863","44,135","17,127","2,725","84"
"서울특별시 송파구 (1171000000)","643,350","643,350","39,189","56,919","76,161","105,907","103,747","97,982","87,780","53,311","19,065","3,206","83"
"서울특별시 강동구 (1174000000)","499,127","499,127","32,011","43,767","55,612","77,454","81,123","75,244","72,244","43,910","15,254","2,440","68"
"부산광역시  (2600000000)","3,241,600","3,241,600","169,897","264,817","338,697","388,297","460,252","529,003","552,882","364,498","151,877","20,950","430"
"부산광역시 중구 (2611000000)","36,518","36,518","619","1,491","4,663","4,056","3,887","5,949","7,242","5,663","2,590","349","9"
"부산광역시 서구 (2614000000)","101,892","101,892","4,130","7,013","10,702","10,109","12,728","16,522","18,995","14,100","6,630","937","26"
"부산광역시 동구 (2617000000)","83,851","83,851","3,478","4,512","8,048","10,620","10,529","13,458","15,098","11,597","5,686","812","13"
