충전소아이디,충전소명,충전소주소,상세주소,위도,경도,이용가능시간,연락처,등록일자
159,칠곡지사(공용),경상북도 칠곡군 왜관읍 구상길 178,지상주차장(북측),35.98267,128.394734,24시간,1899-2100,2016-10-27
148,동해지사(공용),강원특별자치도 동해시 천곡동 792,지사주차장,37.52570357,129.1079442,주중/주말 : 06시~23시,1899-2100,2016-10-27
89,곡성지사,전라남도 곡성군 곡성읍 읍내리 792-21,(실외캐노피기설)지사주차장,35.27759587,127.2911371,24시간,1899-2100,2016-10-27
44,원주지사(공용),강원특별자치도 원주시 우산동 316-9,지사주차장,37.372274,127.938467,06~23시,1899-2100,2016-10-27
18,국회의사당,서울특별시 영등포구 여의도동 1,국회의사당 본관후문 1층 주차장,37.53269669,126.9142124,주중/주말 : 24시간,1899-2100,2016-10-27
41,제물포지사,인천광역시 미추홀구 도화동 999,지상주차장 끝쪽,37.46935817,126.6602667,24시간 개방,1899-2100,2016-10-27
137,제주직할,제주특별자치도 제주시 연동 322-2,본관건물 왼쪽,33.48903714,126.5013017,24시간,1899-2100,2016-10-27
42,강릉특별지사,강원특별자치도 강릉시 포남동 1255,지사주차장,37.78217537,128.9188097,주중/주말 : 06시~23시,1899-2100,2016-10-27
73,거창지사,경상남도 거창군 거창읍 강남로 246,후문 입구 우측 전기차충전소 내부위치,35.687001,127.923721,24시간,1899-2100,2016-10-27
150,공주지사,충청남도 공주시 우금티로 772,정문 입차 후 좌측,36.453694,127.133922,주중/주말 : 24시간,1899-2100,2016-10-27
51,수안보연수원,충청북도 충주시 수안보면 조산공원길 64,수안보연수원,36.84385968,127.9906742,주중/주말 : 06시~23시,1899-2100,2016-10-27
34,고양지사,경기도 고양시 일산동구 백석동 1310,1층주차장(입구에서 좌측),37.64152498,126.7878049,주중/주말 : 06시~23시,1899-2100,2016-10-27
29,동용인지사(공용),경기도 용인시 처인구 김량장동 87-15,지상 주차장 좌측(후문앞),37.23465711,127.2056972,24시간,1899-2100,2016-10-27
122,신안지사,전라남도 신안군 안좌면 읍동리 1105,(실외완전노출)사옥내 주차장 우측,34.7547893,126.1258284,주중/주말 : 06시~23시,1899-2100,2016-10-27
158,의성지사(업무용),경상북도 의성군 의성읍 경북대로 5644-9,지상주차장(입구 우측),36.34837,128.673582,24시간,1899-2100,2016-10-27
31,평택지사,경기도 평택시 비전동 767,지사 지상주차장,36.99128953,127.1073889,24시간,1899-2100,2016-10-27
50,천안지사(공용),충청남도 천안시 서북구 동서대로 77,후문 출입구 지상주차장 우측,36.82658,127.131419,24시간,1899-2100,2016-10-27
99,서광주지사,광주광역시 서구 농성동 161-1,(실외완전노출)고객전용 주차장,35.15145741,126.8910368,주중/주말 : 06시~23시,1899-2100,2016-10-27
156,서대구지사,대구광역시 서구 비산동 312-7,지상주차장(후문 동측 고객용),35.869746,128.570835,24시간,1899-2100,2016-10-27
151,서산지사,충청남도 서산시 한마음16로 63,지상주차장 우측,36.775126,126.45431,주중/주말 : 24시간,1899-2100,2016-10-27
36,인재개발원,서울특별시 노원구 노원길 130,리더십센터,37.6351988,127.0873634,주중/주말 : 06시~23시,1899-2100,2016-10-27
37,파주지사 신사옥,경기도 파주시 금바위로 60,1층주차장,37.757032,126.780093,24시간,1899-2100,2016-10-27
47,서대전지사,대전광역시 서구 변동중로 39,지상 주차장,36.328561,127.372752,"24시간, 주말(호출버튼 이용)",1899-2100,2016-10-27
54,충북직할(공용),충청북도 청주시 서원구 성화동 829,직할 사옥 1층 고객주차장 앞,36.61524814,127.4505333,24시간,1899-2100,2016-10-27
55,충주지사,충청북도 충주시 봉방동 82-1,충주지사 사옥 1층 주차장 우측,36.979645,127.916598,24시간,1899-2100,2016-10-27
61,대구직할(공용),대구광역시 북구 원대로 110,사옥내 주차장,35.886482,128.583484,24시간,1899-2100,2016-10-27
10,강북성북지사(공용),서울특별시 강북구 미아동 190-1,지하 1층 주차장,37.630923,127.024819,"지상 24시간, 지하 10-18",1899-2100,2016-10-27
13,마포용산지사,서울특별시 마포구 도화동 51-3,지상 주차장,37.5420523,126.9466327,"주중 08~19시, 주말 09~18시",1899-2100,2016-10-27
16,강동송파지사,서울특별시 강동구 둔촌동 522-9,정문주차장 좌측(후면주차장 이용불가),37.52386516,127.1356659,24시간,1899-2100,2016-10-27
136,제주전력지사,제주특별자치도 제주시 가령로 68,제주전력지사,33.498596,126.536653,24시간,1899-2100,2016-10-27
167,함양지사,경상남도 함양군 함양읍 함양로 1207,지상주차장,35.526495,127.72892,24시간,1899-2100,2016-10-27
65,남부산지사,부산광역시 해운대구 우동 1388-8,1층 주차장 끝쪽,35.160417,129.14468,24시간,1899-2100,2016-10-27
