시도,군구,주소,충전소명,기종(대),충전기타입,이용자제한
경기,광명시,경기도 광명시 가림일로 61,광명시 광명하안현대아파트,완속,AC완속,이용가능
경기,광명시,경기도 광명시 가림일로 79,광명도덕파크타운,완속,AC완속,이용가능
경기,광명시,경기도 광명시 가학로 119,수원~광명고속도로 남광명TG 주차장,급속,DC콤보,이용가능
경기,광명시,경기도 광명시 가학로85번길 142,광명시자원회수시설 주차장,완속,AC완속,이용가능
경기,광명시,경기도 광명시 광덕산로 26,광명두산위브트레지움,완속,AC완속,이용가능
경기,광명시,경기도 광명시 광명로,광명전통시장 공영주차장,급속,DC차데모+AC3상+DC콤보,이용가능
경기,광명시,경기도 광명시 광명로 351,광명 아이씨점 기아오토큐,완속,AC완속,이용가능
경기,광명시,경기도 광명시 광명로 721,광명시돔경륜장,완속,AC완속,이용가능
경기,광명시,경기도 광명시 광명로 721,광명시 경륜경정사업본부,완속,AC완속,이용가능
경기,광명시,경기도 광명시 광명로 877,광명한진아파트,완속,AC완속,이용가능
경기,광명시,경기도 광명시 광명로791번길 6 ,광명시 광명6동 주민센터,완속,AC완속,이용가능
경기,광명시,경기도 광명시 광명로831번길 45,경기광명 제일풍경채아파트,완속,AC완속,이용가능
경기,광명시,경기도 광명시 광명로831번길 45,제일풍경채아파트,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 광명역로 26,광명역파크자이1차오피스텔상가,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 광명역로 26,광명역파크자이 107동 지하2층 주차장-1,완속,AC완속,이용가능
경기,광명시,경기도 광명시 광명역로 26,광명역파크자이 107동 지하2층 주차장-2,완속,AC완속,이용가능
경기,광명시,경기도 광명시 광명역로 26,광명역파크자이 107동 지하2층 주차장-3,완속,AC완속,이용가능
경기,광명시,경기도 광명시 광명역로 26,광명역파크자이 102동 지하2층 주차장,완속,AC완속,이용가능
경기,광명시,경기도 광명시 광명역로 28,광명역센트럴자이오피스텔상가,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 금당로 28,광명시 하안3동행정복지센터,완속,AC완속,이용가능
경기,광명시,경기도 광명시 금당로 28 ,광명시 하안3동 주민센터,완속,AC완속,이용가능
경기,광명시,경기도 광명시 금하로 458,광명 웅신아트오피스텔,완속,AC완속,이용가능
경기,광명시,경기도 광명시 금하로 529,비엔팰리스관리단,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 기아로 115,광명 오토랜드 E-pit,급속,DC콤보,이용가능
경기,광명시,경기도 광명시 너부대로35번길 20,광명시 광명5동 주민센터,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 덕안로 110,중앙대학교광명병원,급속,DC차데모+AC3상+DC콤보,이용가능
경기,광명시,경기도 광명시 덕안로 110,광명시 중앙대학교광명병원,완속,AC완속,이용가능
경기,광명시,경기도 광명시 덕안로 16,광명역B주차빌딩,급속,DC차데모+AC3상+DC콤보,이용가능
경기,광명시,경기도 광명시 덕안로104번길 17,광명시 광명역엠클러스터,완속,AC완속,이용가능
경기,광명시,경기도 광명시 도덕공원로 35,광명브라운스톤2차아파트,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 도덕공원로 49,철산동 브라운스톤1차아파트,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 도덕공원로 59,광명푸르지오아파트,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 도덕로 56,광명중앙하이츠1,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 도덕로 56,광명중앙하이츠2,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 도덕로 56,광명중앙하이츠3,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 도덕로 79,경기광명 상우1차아파트,완속,AC완속,이용가능
경기,광명시,경기도 광명시 도덕로28번안길 22,상우2차아파트입주자대표회의,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 디지털로,광명경찰서,급속,DC차데모+AC3상+DC콤보,이용가능
경기,광명시,경기도 광명시 디지털로 24,경기광명 철산푸르지오하늘채 108동,완속,AC완속,이용가능
경기,광명시,경기도 광명시 디지털로 24,경기광명 철산푸르지오하늘채 103동,완속,AC완속,이용가능
경기,광명시,경기도 광명시 디지털로 56,철산래미안자이,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 디지털로 56,광명철산래미안자이아파트,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 디지털로 56,철산래미안자이아파트,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 목감로 120,광명장애인복지타운,급속,DC콤보,이용가능
경기,광명시,경기도 광명시 목감로 58,광명해모로이연아파트,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 목감로 58,광명해모로이연,완속,AC완속,이용가능
경기,광명시,경기도 광명시 목감로 88,광명현진에버빌아파트입주자대표회의,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 범안로 777-21,광명시 환경수도사업소,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 사성로 121,광명시 철산1동행정복지센터,완속,AC완속,이용가능
경기,광명시,경기도 광명시 사성로 121 ,광명시 철산1동 주민센터,완속,AC완속,이용가능
경기,광명시,"경기도 광명시 사성로 123 (철산동, 낙천대롯데아파트)",광명시 롯데아파트,완속,AC완속,이용가능
경기,광명시,경기도 광명시 사성로 74,광북공영주차장,급속,DC콤보,이용가능
경기,광명시,경기도 광명시 사성로 91,광명철산두산위브아파트,완속,AC완속,이용자제한
